,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elements,OMPM 10k,OMPQ 10k,FQ 10k,FM 10k,OMPM 100k,OMPQ 100k,FQ 100k,FM 100k,OMPM 1m,OMPQ 1m,FQ 1m,FM 1m,OMPM 10m,OMPQ 10m,FQ 10m,FM 10m,LMS,LQS,LB,OMPB
10000,0.024,0.018,0.005,0.005,0.282,0.019,0.006,0.006,0.279,0.022,0.005,0.006,0.272,0.024,0.005,0.005,0.253,0.005,0.316,0.889
20000,0.024,0.023,0.007,0.009,0.021,0.02,0.008,0.009,0.031,0.031,0.008,0.009,0.029,0.021,0.008,0.009,0.009,0.008,1.361,1.127
50000,0.041,0.027,0.016,0.022,0.039,0.039,0.019,0.023,0.04,0.039,0.02,0.022,0.05,0.049,0.019,0.022,0.023,0.019,9.106,3.188
75000,0.052,0.043,0.022,0.034,0.051,0.045,0.029,0.032,0.08,0.075,0.028,0.033,0.051,0.048,0.028,0.033,0.033,0.03,20.799,5.78
100000,0.063,0.044,0.025,0.043,0.062,0.054,0.037,0.052,0.063,0.057,0.037,0.043,0.065,0.058,0.037,0.043,0.054,0.037,36.933,6.481
250000,0.131,0.074,0.069,0.111,0.133,0.088,0.069,0.111,0.134,0.116,0.095,0.115,0.134,0.114,0.097,0.111,0.112,0.095,232.253,20.722
500000,0.253,0.144,0.128,0.225,0.252,0.14,0.132,0.228,0.25,0.227,0.195,0.224,0.255,0.219,0.196,0.226,0.23,0.193,927.974,68.406
1000000,0.486,0.24,0.232,0.456,0.482,0.243,0.233,0.456,0.499,0.433,0.403,0.457,0.495,0.434,0.408,0.46,0.461,0.405,,
10000000,4.928,2.18,2.476,4.751,4.92,2.19,2.327,4.737,4.98,2.593,2.669,4.722,4.938,7.483,7.34,4.79,4.775,7.306,,
20000000,9.927,4.576,5.517,9.581,9.988,4.465,4.646,9.606,9.967,5.008,5.049,9.594,9.968,11.919,11.844,9.592,9.64,21.581,,
50000000,25.345,11.867,17.353,24.317,25.172,12.04,12.597,24.271,25.219,12.814,12.982,24.138,25.322,28.421,28.829,24.353,24.563,105.767,,
100000000,51.149,28.192,40.904,49.387,51.465,29.339,29.853,49.353,51.156,30.348,28.672,49.369,51.422,55.851,55.609,49.398,49.953,384.825,,